Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/06/2020 17:06,Yes,98672,"Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends, Schools and associated activities",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,5,"$65,000 to $99,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), local food sources are limited and under-supported","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation, steep hills, highways and bridge prevent easy pedestrian and bike travel","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Second Hand Rose thrift store,Neutral,Agree,,
9/29/2020 12:58:53,Yes,98605,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!",Cost of rent or house payment,no,Yes,3,"$45,000 to $64,999",No,"Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,"Second Hand Rose thrift store, COVID-19 Relief Fund",n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/29/2020 12:59:02,Yes,98605,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!",Cost of rent or house payment,no,Yes,3,"$45,000 to $64,999",No,"Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,"Second Hand Rose thrift store, COVID-19 Relief Fund",n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/23/2020 19:52:37,Yes,98650,Close friends,I have housing and I am NOT worried about losing it,No,,no,Yes,5,"$100,000 or more",No,,No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,Asian/Asian American,"Second Hand Rose thrift store, Donate & shop at thrift shop",Agree,Agree,,
10/04/2020 07:31,Yes,98605,Faith group or church,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,2,,"Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Male,65 years or older,American,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
10/20/2020 14:17:31,Yes,98672,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"$30,000 to $44,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses",No,No,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Unable to get a driverís license,No,n/a,Female,65 years or older,Hispanic/Latino/LatinX,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
12/02/2020 15:21,Yes,98610,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,3,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
12/01/2020 16:08,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,5,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat","Lack of adequate insurance, Language barrier (medical info hard to understand)",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
12/01/2020 16:10,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Sometimes,6,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, somewhat","Cost of care is not affordable, Language barrier (medical info hard to understand), Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
10/20/2020 15:00:26,Yes,98635,"Faith group or church, Community or civic volunteer group, Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Yes,1,"Less than $15,000",No,n/a,No,No,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline",No,n/a,Female,65 years or older,Native American/American Indian,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/20/2020 14:44:53,Yes,98672,"Community or civic volunteer group, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,2,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, a BIG problem!",Cost of care is not affordable,Female,65 years or older,Native American/American Indian,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/05/2020 14:48,Yes,98605,"Faith group or church, Community or civic volunteer group, Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,Sometimes,3,"Less than $15,000",No,n/a,Sometimes,Sometimes,No,Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license","Yes, somewhat",Lack of transportation,Female,18-64 years old,Native American/American Indian,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
10/20/2020 14:40:35,Yes,98672,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,4,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food",No,n/a,"Yes, somewhat",Cost of care is not affordable,Male,18-64 years old,Native American/American Indian,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
11/02/2020 11:04,Yes,98610,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,8,"$45,000 to $64,999","Yes, somewhat",Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, a BIG problem!",Limited public transportation,No,n/a,Female,18-64 years old,Native American/American Indian,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
10/03/2020 19:30,Yes,98610,"Close friends, Work","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,No,1,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,Sometimes,"Yes, somewhat",Not enough income to purchase food,No,,"Yes, somewhat","Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Female,18-64 years old,Russian Jewish Immigrant,"Second Hand Rose thrift store, Food Bank",Agree,Strongly Agree,Mental health programming - especially folks who turn to hate rather than look to support those more in need than themselves. ,
10/26/2020 17:12:15,Yes,98610,Close friends,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,1,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,No,"Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Agree,Agree,It would be nice to have a small Clinic in Carson. Maybe it would help if there was a way for the foodbank to deliver food to people who are unable to get to the foodbank on the days the foodbank is open or maybe deliver food on a day it's closed so it doesn't interfere with their business hours and take away from the people who can get to the foodbank. Or maybe have a small foodbank in Carson that is open on days that the foodbank isnt open in Stevenson or Bingen to make it easier for people that can't come on Tuesday and Thursday. Thank you for your time and support. ,
10/01/2020 11:37,,98672,Close friends,"I am staying in a shelter, a car, a tent or on the street","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Sometimes,1,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,"Yes, many times","Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, insurance","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
9/29/2020 16:09:17,Yes,98672,Close friends,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,1,"$15,000 to $29,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation",No,n/a,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/30/2020 16:24:11,Yes,98672,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,1,"Less than $15,000","Yes, somewhat",Good paying jobs with benefits are hard to find,Sometimes,Sometimes,No,Not enough income to purchase food,"Yes, somewhat",Cost of gasoline,No,n/a,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/02/2020 09:16,Yes,98670,Forest,I have housing and I am NOT worried about losing it,,,yes,Yes,1,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, a BIG problem!",Cost of buying and maintaining a car,,,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Neutral,Agree,,
10/02/2020 09:49,Yes,98620,nature,"Other living arrangement (hotel, staying with friends, etc.)",,,yes,Sometimes,1,"Less than $15,000","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,Sometimes,"Yes, many times","Yes, a BIG problem!",Not enough income to purchase food,"Yes, a BIG problem!","Unable to get a driverís license, Limited public transportation","Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Neutral,Agree,,
10/05/2020 15:17,Yes,98635,"Community or civic volunteer group, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
10/07/2020 09:21,Yes,98672,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,1,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Agree,Neutral,,
9/23/2020 15:32:58,Yes,98672,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!",Cost of rent or house payment,yes,No,2,"$30,000 to $44,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,"Yes, many times","Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Cost of buying and maintaining a car,"Yes, somewhat",Cost of care is not affordable,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Strongly Agree,"I just started using the food bank in Bingen and it has been a wonderful experience! I was reluctant to accept help, but was pleasantly surprised with how helpful and professional they are. Thank you so much! ",
9/23/2020 16:06:02,Yes,98605,None,"Other living arrangement (hotel, staying with friends, etc.)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",no,Yes,2,"Less than $15,000","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,No,Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline",No,,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
9/30/2020 15:05:50,Yes,98648,"Extended family, Close friends",I have housing and I am NOT worried about losing it,No,n/a,no,No,2,"$30,000 to $44,999",No,n/a,No,No,No,n/a,No,n/a,"Yes, somewhat","Cost of care is not affordable, Lack of transportation",Male,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Agree,,
10/05/2020 14:52,Yes,98635,None,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"Less than $15,000",No,"Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,No,n/a,No,n/a,No,n/a,Male,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/07/2020 09:40,Yes,98672,Close friends,"Other living arrangement (hotel, staying with friends, etc.)","Yes, somewhat",Cost of rent or house payment,no,Sometimes,2,"$15,000 to $29,999","Yes, somewhat",logger; laid of for the winter,Sometimes,Sometimes,No,n/a,No,n/a,No,n/a,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",,,,
10/07/2020 10:10,Yes,98650,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy",no,No,2,"$15,000 to $29,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, somewhat",Lack of adequate insurance,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/08/2020 10:57,Yes,98623,Close friends,I have housing and I am NOT worried about losing it,No,n/a,no,Yes,2,"Less than $15,000",No,n/a,Sometimes,Sometimes,No,n/a,No,n/a,No,n/a,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/08/2020 14:58,Yes,98605,"Faith group or church, Community or civic volunteer group, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,2,"Less than $15,000","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Cost of care is not affordable",Gender non-conforming,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/27/2020 16:10:43,Yes,98610,"Faith group or church, Community or civic volunteer group","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat",Limited public transportation,"Yes, somewhat",Not enough alcohol/drug abuse treatment options,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Disagree,Trump Supporting Sheriff who is being mentored by Sheriff Bob Songer and who wants his own Posse,
9/23/2020 23:50:00,Yes,98672,"Faith group or church, Hobby groups (books clubs, art club, etc.)",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,3,"$65,000 to $99,999","Yes, somewhat",Wages are too low to cover monthly expenses,No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,No,,No,Lack of adequate insurance,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Agree,,
10/02/2020 10:00,Yes,98650,None,I have housing and I am NOT worried about losing it,No,,no,Yes,3,"$15,000 to $29,999",No,,Sometimes,Sometimes,No,n/a,No,,No,,Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/08/2020 10:51,Yes,98619,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,No,3,"$15,000 to $29,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance",Male,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Agree,Strongly Agree,,
10/15/2020 7:09:24,Yes,98672,Community or civic volunteer group,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Sometimes,3,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Language barrier (medical info hard to understand), Not enough mental health treatment options",Male,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Agree,Strongly Agree,,
12/02/2020 12:46,Yes,98610,"Hobby groups (books clubs, art club, etc.), Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,3,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food, AJ's prices too high to shop",No,n/a,"Yes, somewhat","Unsure where to go or what services are available, Not enough mental health treatment options, Lack of DR. Offices",Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Neutral,,
10/05/2020 15:08,Yes,98605,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,4,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,65 years or older,White,"Second Hand Rose thrift store, Food Bank",Strongly Agree,Strongly Agree,,
10/27/2020 15:35:28,Yes,98610,"Sports team or club, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Yes,4,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
11/23/2020 10:58:01,Yes,98610,"Sports team or club, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Yes,4,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, somewhat",Not enough mental health treatment options,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Agree,,
12/08/2020 15:27,Yes,98648,"Faith group or church, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,4,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find","Yes, many times","Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline",No,,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
10/01/2020 11:26,Yes,98610,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",yes,Yes,5,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,"Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/30/2020 12:58:38,Yes,98648,"Faith group or church, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities",no,Yes,6,"$30,000 to $44,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses",No,No,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food, people lack skills to manage money and properly budget or prioritize","Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license, cost and consequences of recovering from driving related mistake","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance",Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Agree,Neutral,,
